Ind,Collection.Year,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
SRR29127757,2006,19.0625004967054,14.8583335479101,46.0010317053252,657.685800856283,34.7000007629395,2.40000009536743,32.300000667572,27.2500009536743,19.0500005880992,27.2500009536743,11.3666667143504,849.700018882751,116.400001525879,15.6999998092651,40.3498418414743,280.300006866455,121.100001335144,280.300006866455,270.500007629395
SRR29127756,2006,19.8458335796992,11.2250001430511,39.6643125288545,617.835147991764,33.2999992370605,5,28.2999992370605,27.5666669209798,19.7166670163472,27.5666669209798,12.6833335558573,944.300024986267,148.900009155273,12.4000005722046,50.6285782206766,343.10001373291,125.000002861023,343.10001373291,224.700004577637
SRR29127758,2007,19.4875005036592,15.0916668673356,45.0497497587771,653.212793850859,35.4000015258789,1.89999997615814,33.5000015497208,27.3166672388713,18.7833338578542,27.3166672388713,11.6000003616015,944.2000207901,145.699996948242,13.1000003814697,56.1831836147728,401.600006103516,94.9000043869019,401.600006103516,249.500003814697
SRR29127765,1909,14.4375002458692,7.49166669944922,28.1641592999194,703.120084122611,27.3000011444092,0.699999988079071,26.6000011563301,20.766666730245,5.13333355387052,22.3166672388713,5.13333355387052,1307.60002326965,293.300018310547,18.2000007629395,76.4677618840095,655.200012207031,61.3000011444092,449.699996948242,61.3000011444092
SRR29127784,1953,13.8666669561838,7.83333340597649,25.7675437651624,811.733109247711,29.6000003814697,-0.800000011920929,30.4000003933907,20.2166670163472,6.63333347439766,24.1833340326945,4.45000006134311,1865.80002593994,376.100006103516,49.4000015258789,71.206521487447,916.800018310547,177.000007629395,686.700012207031,264.800003051758
SRR29127770,1948,16.8916668792566,8.43333325783412,24.3035540237616,896.421779373107,33.5,-1.20000004768372,34.7000000476837,25.1000003814697,17.5166668891907,27.8166672388713,6.01666669050852,1548.00000572205,290,23.3000011444092,66.7145282957676,763.399993896484,137.500001907349,572.899993896484,268.600002288818
SRR29127737,1980,17.5958336293697,13.3750002980232,37.2562674602277,827.423335608653,35.2000007629395,-0.699999988079071,35.9000007510185,17.0000003178914,12.216666807731,27.5500001907349,7.66666678587596,1049.00002288818,304,33.2999992370605,82.9621537480452,473.500007629395,142.200004577637,231.700004577637,191.700004577637
SRR29127799,1946,20.4375004569689,10.6583331823349,38.6171506791483,601.740389743428,33.2999992370605,5.7000002861023,27.5999989509583,26.0166673660278,24.8166670799255,27.3333339691162,12.5833335717519,1670.30004119873,315.600006103516,56.2000007629395,58.0903374495918,688.500015258789,238.000003814697,429.100009918213,358.100006103516
SRR29127750,1987,19.5125004053116,12.691666841507,39.5379001138824,694.972643122024,35.1000022888184,3,32.1000022888184,26.4166673024495,24.1833338737488,27.900000890096,11.2333335081736,1309.60001277924,237.600006103516,10.9000005722046,55.8555205991565,497.400009155273,202.099998474121,441.400009155273,409.5
SRR29127768,1965,19.5833336313566,11.3333336909612,41.2121225125862,648.6360854816,32.5,5,27.5,26.6333335240682,23.7833334604899,26.7166665395101,11.400000333786,1361.30000686646,203.699996948242,24.8999996185303,54.7098405716195,569.5,175.600004196167,480.700004577637,417.400001525879
SRR29127761,2001,18.2083334848285,13.0166667451461,41.0620402209498,650.499228946926,32,0.300000011920929,31.6999999880791,10.5166668593884,14.9000000953674,25.8833335240682,10.4500001768271,1478.50003814697,281.700012207031,75.5999984741211,44.7848042113094,514.10001373291,262.800003051758,380.200012207031,329.200004577637
SRR29127763,2003,15.7208335498969,11.7416669329007,34.5343145085316,790.472982671504,31,-3,34,22.9000000953674,17.0666667620341,24.7000001271566,4.75000011920929,1567.30002403259,230.900009155273,31.3000011444092,41.6200721822097,566.500015258789,254.999998092651,480.700012207031,361.800003051758
SRR29127793,1940,19.833333671093,11.7333335479101,37.367302476848,637.938220495794,32.4000015258789,1,31.4000015258789,27.2833340962728,21.1666669845581,27.2833340962728,11.816666841507,1178.10001993179,209.699996948242,4.7000002861023,70.5712130946141,579.400009155273,135.999998569489,579.400009155273,210.000003814697
SRR29127780,1953,25.5416669050852,8.21666669845581,61.7794435447082,147.183171979111,31.7000007629395,18.3999996185303,13.3000011444092,25.0833336512248,24.8333333333333,27.0333337783813,23.3999999364217,3207.60006713867,559.799987792969,37.4000015258789,67.4324645406334,1250.70001220703,297.700004577637,765.600021362305,811.39998626709
SRR29127782,1953,26.8333338101705,8.26666673024496,66.6666692303074,103.711429151777,33.2000007629395,20.8000011444092,12.3999996185303,26.4000005722046,25.9000005722046,28.0166673660278,25.3500006993612,2658.60001373291,382.100006103516,40.7999992370605,56.6318571721489,1083.10000610352,196.5,551.400001525879,535.300006866455
SRR29127767,2003,17.2291669944922,10.8916670282682,46.5455858754366,439.356239513292,26,2.60000014305115,23.3999998569489,20.7500006357829,12.0500001509984,21.7333335876465,11.2333336273829,1067.00002026558,217.199996948242,3.70000004768372,87.0152470327655,585.700012207031,57.4000027179718,485.099998474121,96.7000026702881
SRR29127726,1973,19.6125004192193,12.4250000516574,41.4166648639574,668.941270130199,33.4000015258789,3.40000009536743,30.0000014305115,15.2166669368744,21.6000003814697,27.1333341598511,10.4333333571752,1576.00002861023,213.100006103516,20.3999996185303,44.0177864618981,560.200012207031,162.499998092651,375.699996948242,409.900001525879
SRR29127744,2001,17.2416670074066,12.9000004629294,38.8554217696634,701.057111073462,31.8000011444092,-1.39999997615814,33.2000011205673,9.03333348035812,17.7833336194356,25.7333339055379,8.80000032981237,1341.80001831055,225.400009155273,70.5999984741211,36.0972972674186,448.500007629395,251.200004577637,354.700004577637,331.699996948242
SRR29127729,2014,20.1083336571852,11.8333335121473,38.0493019724041,668.267230481705,33.9000015258789,2.79999995231628,31.1000015735626,27.466667175293,12.3666668335597,27.7666673660278,12.3666668335597,1419.20001983643,209.600006103516,52.5,34.9624034780996,434.600006103516,277.400001525879,384.100006103516,277.400001525879
SRR29127742,1998,20.6958337624868,11.1583336194356,40.5757579125649,668.021027646032,34.2000007629395,6.7000002861023,27.5000004768372,13.1333336830139,24.1666673024495,28.416667620341,12.5833336512248,1506.60000133514,295.399993896484,11.6999998092651,61.3422797343092,588.099998474121,226.199995994568,303.400005340576,577.499992370605
SRR29127764,1956,12.4916668236256,7.81666670242945,24.9733762743733,888.665587890621,28.3999996185303,-2.90000009536743,31.2999997138977,22.9000002543132,8.71666679779688,23.3000001907349,1.400000055631,1843.50001907349,264.399993896484,40.7000007629395,39.2176623747231,625.799987792969,246.600009918213,557.399993896484,291.000003814697
SRR29127786,1963,14.5000001937151,8.73333335916201,25.8382644126706,898.050928214326,31,-2.79999995231628,33.7999999523163,22.5000001589457,3.5,25.2833334604899,3.35000004371007,1569.00004386902,301.300018310547,24.7000007629395,72.5453035811324,735.300033569336,81.1000003814697,645.300018310547,155.500001907349
SRR29127775,1973,22.3416669766108,7.88333328564962,45.0476163202404,331.620225143277,29.8000011444092,12.3000001907349,17.5000009536743,25.4333333969116,18.3000001907349,25.4333337148031,17.9833334287008,2646.80001831055,780.200012207031,30.2000007629395,106.99871987261,1509.80001831055,174.599998474121,1293.70001220703,212.700000762939
SRR29127730,2006,21.2333335677783,13.6999995311101,49.1039408038744,507.141425022227,34,6.09999990463257,27.9000000953674,27.25,15.4666669368744,27.25,15.316666841507,1044.10001087189,187.300003051758,8.69999980926514,65.7351810837464,483.400009155273,131.400000572205,483.400009155273,212.000003814697
SRR29127739,1981,18.5666669805845,15.6166668335597,41.4235203169024,752.191769153088,35.7999992370605,-1.89999997615814,37.6999992132187,27.6500005722046,19.0333336194356,27.6500005722046,8.91666658719381,1007.80001831055,156.5,35.7999992370605,50.5411505519534,352.500007629395,147.800003051758,352.500007629395,279.600002288818
