Ind,Herbarium,Voucher Identifier,Location,Approx. Latitude,Approx. Longitude,Invaded,Collection Year,Temporal_Group,Specimen Comments,total # bases ,Specimen Link
SRR29127785,UC,Nishida 27,Japan,35.14391,139.15454,N,1952,native,"Coords are approximate, based on locality description: Manazuru point, Kanagawa",3047873996,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513175&clid=0
SRR29127798,BRIT,Peck 03133,Arkansas,36.472746,-93.510104,Y,2003,late invasion,"Coords are approximate, based on locality description: Crossroads Rd in Cleveland County, AR",2004920620,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2838771&clid=0
SRR29127797,BRIT,Peck 2338,Arkansas,34.09113,-92.547037,Y,2002,late invasion,"Coords are approximate, based on locality description: 3 mi south of Ivy, AR in Dallas County on AR-229",3080446810,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2838774&clid=0
SRR29127795,FLAS,Perkins 303,Florida,29.94305,-85.163363,Y,1977,mid invasion,"Coords are approximate, based on locality description: 12 mi NE of Port St. Joe, E of 71, near Cypress Creek",3010869332,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1374691&clid=0
SRR29127783,UC,PhilNatHerb 1707,Philippines,13.770457,121.068196,N,1946,native,Coords are center of Abra Province,1788236828,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2820102&clid=0
SRR29127754,VDB,Ray 8386,Mississippi,31.583192,-89.873614,Y,1957,early invasion,"Coords are approximate, based on locality description: just south of Prentiss, MS",1309516696,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=889563&clid=0
SRR29127741,NLU,Resico s.n.,Florida,27.9,-82.16,Y,1974,early invasion,"Coords are approximate, based on locality description: between Alderman Ford and Alafia bridge",2679714554,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854375&clid=0
SRR29127777,UC,Rinehart 26237,Palau,7.33182,134.450435,N,1996,native,"Coords are approximate, based on locality description: Malakai Is, Palau",2239789342,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513217&clid=0
SRR29127781,UC,Santos 5181,Philippines,13.503771,120.951624,N,1952,native,,970775678,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513240&clid=0
SRR29127774,UC,Setchell s.n.,Indonesia,-8.42553,115.122806,N,1929,native,Coords are center of Bali,2333476084,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513202&clid=0
SRR29127790,VDB,Short 847,Alabama,31.883833,-85.133355,Y,1976,mid invasion,"Coords are approximate, based on locality description: Old River bridge route, Eufaula city limits",4626702212,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2850120&clid=0
SRR29127740,NLU,Smith 1340,Florida,30.618697,-86.117575,Y,1967,early invasion,"Coords are approximate, based on locality description: 3.5 mi south of De Funiak Springs, FL",2392900322,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=3710890&clid=0
SRR29127792,FLAS,Smith B2014-909,Florida,30.222157,-85.592924,Y,2014,late invasion,"Coords are approximate, based on locality description: GAC contractors at intersection of US 231 and Mill Bayou",4241392190,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372463&clid=0
SRR29127738,KANU,Snyder 1247,Georgia,32.184965,-83.914607,Y,1985,mid invasion,,2698716696,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4275620&clid=0
SRR29127796,VDB,Spaulding 12162,Alabama,32.43389,-84.99306,Y,2001,late invasion,,7531699404,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2933053&clid=0
SRR29127788,UC,Suzuki 452003,Japan,35.688382,139.539503,N,1951,native,"Coords are center of Jindi, Japan",1867166642,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513148&clid=0
SRR29127743,NLU,Tan 32,Florida,29.662708,-82.322594,Y,1989,mid invasion,"Coords are approximate, based on locality description: Pareners Branch Loop, O'Leno State Park",3167682228,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854376&clid=0
SRR29127751,NLU,Thomas 118150,Mississippi,31.234854,-91.334751,Y,1990,mid invasion,"Coords are approximate, based on locality description: 2.6 mi south of Dolosoro, MS",1906494894,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854366&clid=0
SRR29127746,NLU,Thomas 152283,Louisiana,30.792376,-89.821913,Y,1996,mid invasion,"Coords are approximate, based on locality description: Bogalusa, LA, near I10 bridge",1892219052,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854235&clid=0
SRR29127745,NLU,Thomas 161652,Louisiana,31.691947,-92.594002,Y,1999,mid invasion,"Coords are approximate, based on locality description: NW of Williana, west of 167",2153022024,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=3710893&clid=0
SRR29127747,NLU,Thomas 40364,Louisiana,30.752692,-90.483721,Y,1974,early invasion,"Coords are approximate, based on locality description: NW of LA 1054 on sandbar",1199525880,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854247&clid=0
SRR29127787,UC,Togasi 1181,Japan,34.696858,135.485825,N,1955,native,Coords are for Yamamoto Station,4804003392,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513124&clid=0
SRR29127769,UC,Tsang 21058,China,22.408846,114.13795,N,1932,native,,2618525730,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=917225&clid=0
SRR29127766,UC,Tsang 28023,China,23.709704,108.814961,N,1966,native,,1288770202,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1712886&clid=0
SRR29127771,UC,van der Warff 171331,Vietnam,21.37472,106.37611,N,2002,native,,1311664822,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513212&clid=0
SRR29127778,UC,Wagner Jr 3589,Philippines,11.031925,125.726135,N,1945,native,,893714338,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513244&clid=0
SRR29127733,FLAS,Ward 8481,Florida,30.669293,-85.517285,Y,1972,early invasion,"Coords are approximate, based on locality description: Orange Hill, SE of Chipley, FL",4250997602,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1374384&clid=0
SRR29127776,UC,Zogg 6029,Taiwan,25.025663,121.663994,N,1982,native,Coords are for Shi-Tsu,1681944304,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513135&clid=0
